Ayta Anchi Sambal language	sgb	0	su:"Ayta Anchi Sambal language"
Bartang language	sgh	0	su:"Bartang language"
Khuf language	sgh	0	su:"Khuf language"
Ishkashmi language	sgl	0	su:"Ishkashmi language"
Zebaki language	sgl	0	su:"Zebaki language"
Mende (Papua New Guinea) language	sim	0	su:"Mende (Papua New Guinea) language"
Kildin Sami language	sjd	0	su:"Kildin Sami language"
Sakalava language	skg	0	su:"Sakalava language"
Siraiki Hindki language	skr	0	su:"Siraiki Hindki language"
Siraiki Sindhi language	skr	0	su:"Siraiki Sindhi language"
Soliga language	sle	0	su:"Soliga language"
Ma'ya (Indonesia) language	slz	0	su:"Ma'ya (Indonesia) language"
Southern Sami language	sma	0	su:"Southern Sami language"
Northern Sami language	sme	0	su:"Northern Sami language"
Lule Sami language	smj	0	su:"Lule Sami language"
Bolinao language	smk	0	su:"Bolinao language"
Skolt Sami language	sms	0	su:"Skolt Sami language"
Zezuru language	sna	0	su:"Zezuru language"
Korekore language	sna	0	su:"Korekore language"
Bau-Jagoi language	sne	0	su:"Bau-Jagoi language"
Lambau language	snp	0	su:"Lambau language"
Komunku language	snp	0	su:"Komunku language"
Sangu (Gabon) language	snq	0	su:"Sangu (Gabon) language"
Sulod language	srg	0	su:"Sulod language"
Sarikoli language	srh	0	su:"Sarikoli language"
Stokavian language	srp	0	su:"Stokavian language"
Sirmauri language	srx	0	su:"Sirmauri language"
Balangingì language	sse	0	su:"Balangingi language"
Suku (Congo) language	sub	0	su:"Suku (Congo) language"
Western Subanon language	suc	0	su:"Western Subanon language"
Tawahka (Honduras) language	sum	0	su:"Tawahka (Honduras) language"
Ulva language	sum	0	su:"Ulva language"
Cirebon language	sun	0	su:"Cirebon language"
Mupun language	sur	0	su:"Mupun language"
Lashkh language	sva	0	su:"Lashkh language"
Shimaore language	swb	0	su:"Shimaore language"
Cifundi language	swh	0	su:"Cifundi language"
Bune Bonda language	swu	0	su:"Bune Bonda language"
Shekhawati language	swv	0	su:"Shekhawati language"
Sangir (Indonesia and Philippines) language	sxn	0	su:"Sangir (Indonesia and Philippines) language"
Central Subanen language	syb	0	su:"Central Subanen language"
Sylheti language	syl	0	su:"Sylheti language"
Kagate language	syw	0	su:"Kagate language"
Tavara (Papua New Guinea) language	tbo	0	su:"Tavara (Papua New Guinea) language"
Tembo (Sud-Kivu, Congo) language	tbt	0	su:"Tembo (Sud-Kivu, Congo) language"
Toda (India) language	tcx	0	su:"Toda (India) language"
Konda?Reddi dialect	tel	0	su:"Konda?Reddi dialect"
Tengger language	tes	0	su:"Tengger language"
So (Uganda) language	teu	0	su:"So (Uganda) language"
Tanga (Tanga Islands) language	tgg	0	su:"Tanga (Tanga Islands) language"
Tiwi (Australia) language	tiw	0	su:"Tiwi (Australia) language"
Nenusa-Miangas language	tld	0	su:"Nenusa-Miangas language"
Tami language	tmy	0	su:"Tami language"
Tacana (Bolivia) language	tna	0	su:"Tacana (Bolivia) language"
Toba (Indian) language	tob	0	su:"Toba (Indian) language"
Tonga (Nyasa) language	tog	0	su:"Tonga (Nyasa) language"
Tonga (Inhambane) language	toh	0	su:"Tonga (Inhambane) language"
Tsakonian language	tsd	0	su:"Tsakonian language"
