LCCN	LCSH	Identifier	Name
sh85092031	Niska language	ncg	Nisga&apos;a
sh85092033	Nisqually language	lut	Lushootseed
sh85092100	Niuean language	niu	Niuean
sh95007186	Nkoya language	nka	Nkoya
sh85092112	Nkunya language	nko	Nkonya
sh85092159	Nocte language	njb	Nocte Naga
sh85092174	Nogai language	nog	Nogai
sh85092176	Nogugu language	nkk	Nokuku
sh88000628	Nomaante language	lem	Nomaande
sh85092207	Nomatsiguenga language	not	Nomatsiguenga
sh00007260	Noon language	snf	Noon
sh99013636	Noone language	nhu	Noone
sh85092387	Nootka language	noo	Nootka
sh85092437	Norn language	nrn	Norn
sh00007002	North Efate language	llp	North Efate
sh92000448	North Straits Salish language	str	Straits Salish
sh93006492	Northeastern Kiwai language	kiw	Northeast Kiwai
sh85092542	Northern Altai language	atv	Northern Altai
sh85017967	Northern Bullom language	buy	Bullom So
sh91001597	Northern Kankanay language	xnn	Northern Kankanay
sh90004360	Northern Khanty language	kca	Khanty
sh92003583	Northern Paiute language	pao	Northern Paiute
sh92001747	Northern Pomo language	pej	Northern Pomo
sh88003813	Northern Roglai language	rog	Northern Roglai
sh2004003295	Northern Sami language	sme	Northern Sami
sh86006663	Northern Sierra Miwok language	nsq	Northern Sierra Miwok
sh85092572	Northern Sotho language	nso	Pedi
sh85092574	Northern Thai language	nod	Northern Thai
sh85092723	Norwegian language (Nynorsk)	nno	Norwegian Nynorsk
sh85092722	Norwegian language	nor	Norwegian
sh2003003431	Notsi language	ncf	Notsi
sh85092825	Notu language	nou	Ewage-Notu
sh85092903	Novial language (Artificial)	nov	Novial
sh85092927	Ntlakyapamuk language	thp	Thompson
sh85092929	Ntomba language	nto	Ntomba
sh85092933	Nubi language	kcn	Nubi
sh85093181	Nuer language	nus	Nuer
sh85093187	Nukahiva language	mrq	North Marquesan
sh96010309	Nukunu language	nnv	Nugunu (Australia)
sh85093190	Nukuoro language	nkr	Nukuoro
sh85093183	Numfor language	bhw	Biak
sh85093279	Nung language	nun	Nung (Myanmar)
sh85093282	Nunggubuyu language	nuy	Nunggubuyu
sh85093295	Nunuma language	xsm	Kasem
sh85093297	Nupe language	nup	Nupe-Nupe-Tako
sh85093487	Nyabwa language	nwb	Nyabwa
sh86002260	Nyah Kur language	cbn	Nyahkur
sh99014211	Nyaheun language	nev	Nyaheun
sh00007228	Nyalayu language	yly	Nyâlayu
sh92004202	Nyambo language	now	Nyambo
sh85093490	Nyamwezi language	nym	Nyamwezi
sh85093491	Nyaneka language	nyk	Nyaneka
sh85093493	Nyanga language	nyj	Nyanga
sh85093495	Nyangumarta language	nna	Nyangumarta
sh85093498	Nyanja language	nya	Nyanja
sh85093500	Nyankole language	nyn	Nyankole
sh2002004707	Nyiha language	nih	Nyiha (Tanzania)
sh2004005416	Nyikina language	nyh	Nyigina
sh85093537	Nyore language	nyd	Nyore
sh85093538	Nyoro language	nyo	Nyoro
sh2002002069	Nyulnyul language	nyv	Nyulnyul
sh85134170	Nyungwe language	nyu	Nyungwe
sh85093553	Nzakara language	nzk	Nzakara
sh92001624	Nzebi language	nzb	Njebi
sh85093556	Nzima language	nzi	Nzima
sh97002646	Obo Manobo language	obo	Obo Manobo
sh87006565	Obolo language	ann	Obolo
sh85093788	Ocaina language	oca	Ocaina
sh85093808	Occidental language (Artificial)	ile	Interlingue
sh85074607	Occitan language	oci	Occitan (post 1500)
sh85094049	Ocuiltec language	ocu	Atzingo Matlatzinca
sh85094115	Odual language	odu	Odual
sh85094232	Ofo language	ofo	Ofo
sh85094235	Ogan language	pse	Central Malay
