# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
bne	sn	Bintauna language
bkd	sn	Binukid Manobo
bkd	sn	Binukid Manobo language
bjr	sn	Binumarien
bjr	sn	Binumarien language
biy	sn	Birhor
biy	sn	Birhor dialect
bzr	sn	Biri
bzr	sn	Biri (Australia)
bzr	sn	Biri language (Australia)
bfo	sn	Birifor
biv	sn	Birifor
bfo	sn	Birifor language
biv	sn	Birifor language
bom	sn	Birom
bom	sn	Birom language
bvq	sn	Birri
bvq	sn	Birri language
leb	sn	Bisa
leb	sn	Bisa language
bpy	sn	Bishnupuriya
bpy	sn	Bishnupuriya dialect
nmg	sn	Bisio
nmg	sn	Bisio language
bis	sn	Bislama
bis	sn	Bislama language
bir	sn	Bisorio
bir	sn	Bisorio language
hea	sn	Black Hmong
hea	sn	Black Hmong dialect
blt	sn	Black Tai
blt	sn	Black Tai language
beu	sn	Blagar
beu	sn	Blagar language
blr	sn	Blang
blr	sn	Blang language
bni	sn	Bobangi
bni	sn	Bobangi language
bbo	sn	Bobo Fing
bbo	sn	Bobo Fing language
csi	sn	Bodega Miwok
csi	sn	Bodega Miwok language
brx	sn	Bodo
brx	sn	Bodo language
cop	sn	Bohairic
cop	sn	Bohairic dialect
bzf	sn	Boiken
bzf	sn	Boiken language
adi	sn	Bokar
adi	sn	Bokar language
mog	sn	Bolaang Mongondow
mog	sn	Bolaang Mongondow language
bol	sn	Bole
bol	sn	Bole language
bli	sn	Bolia
bli	sn	Bolia language
smk	sn	Bolinao
smk	sn	Bolinao dialect
blj	sn	Bolongan
blj	sn	Bolongan language
boj	sn	Bom
boj	sn	Bom language
boh	sn	Boma (Congo)
boh	sn	Boma language (Congo)
zmx	sn	Bomitaba
zmx	sn	Bomitaba language
peh	sn	Bonan
peh	sn	Bonan language
bfw	sn	Bonda
bfw	sn	Bonda language
bou	sn	Bondei
bou	sn	Bondei language
bot	sn	Bongo
bot	sn	Bongo language
bpu	sn	Bongu
bpu	sn	Bongu language
djk	sn	Boni (French Guiana and Suriname)
bob	sn	Boni (Kenya and Somalia)
djk	sn	Boni dialect (French Guiana and Suriname)
bob	sn	Boni language (Kenya and Somalia)
bmq	sn	Boomu
bmq	sn	Boomu dialect
dks	sn	Bor (Dinka)
bxb	sn	Bor (Lwo)
dks	sn	Bor dialect (Dinka)
bxb	sn	Bor language (Lwo)
boa	sn	Bora
boa	sn	Bora language
gax	sn	Boran
gax	sn	Boran dialect
adi	sn	Bori
adi	sn	Bori language
bor	sn	Bororo (Brazil)
fuv	sn	Bororo (West Africa)
fuv	sn	Bororo dialect (West Africa)
bor	sn	Bororo language (Brazil)
brn	sn	Boruca
brn	sn	Boruca language
bos	sn	Bosnian
bos	sn	Bosnian language
bmj	sn	Bote-Mahi
bmj	sn	Bote-Mahi language
bph	sn	Botlikh
bph	sn	Botlikh language
sbl	sn	Botolan Sambal
sbl	sn	Botolan Sambal dialect
pcc	sn	Bouyei
pcc	sn	Bouyei language
ron	sn	Boyash
ron	sn	Boyash dialect
brh	sn	Brahui
brh	sn	Brahui language
bra	sn	Braj
bra	sn	Braj language
bre	sn	Breton
bre	sn	Breton language
bzd	sn	Bribri
bzd	sn	Bribri dialect
any	sn	Brissa
any	sn	Brissa language
bfi	sn	British Sign
bfi	sn	British Sign Language
bkk	sn	Brokpa
bkk	sn	Brokpa dialect
