Archive_ID	RepositoryName
606	UCLA - Biblioteca de Ciencias y Tecnologia  Felix Morales Bueno
678	UCLA - Biblioteca de Medicina
580	UCLA Biblioteca de Ingenieria Civil
398	UCLA-BIBLIOTECA  DE AGRONOMIA  
658	UH Digital Archive
440	ULB Duesseldorf Digital Collections
1	ULB Halle, Germany, HALCoRe
131	UniCA Eprints
298	UnipiEprints
297	UnissResearch
81	Universidad de Cantabria
220	Universidad de las Americas Puebla, Electronic Thesis and Dissertation Archive
161	Universidad de las Americas, Puebla: Digital Theses
108	Universidad de Murcia
221	Universidad de Murcia
74	Universidad de Oviedo
151	Universidad de Zaragoza
408	UNIVERSIDAD NACIONAL DE COLOMBIA Repositorio Institucional Dspace 
672	UNIVERSIDAD NACIONAL DE COLOMBIA Repositorio Institucional Dspace 
328	Universidad Nacional de La Plata
97	Universidade da Coruña
548	Universidade da Coruña. UDCDspace
348	Universit&auml;t Potsdam
264	Universitat Abat Oliba
253	Universitat Autònoma de Barcelona
201	Universitat de Barcelona
209	Universitat de Girona
190	Universitat de les Illes Balears
261	Universitat de Lleida
280	Universitat de València
301	Universitat de Vic
325	Universitat Internacional de Catalunya
210	Universitat Jaume I
293	Universität Karlsruhe: EVA - Elektronisches Volltextarchiv
4	Universitat Oberta de Catalunya
42	Universitat Politècnica de Catalunya
375	Universitat Politècnica de Catalunya (UPC) - PFC/TFC/Tesines.
51	Universitat Pompeu Fabra
271	Universitat Ramon Llull
279	Universitat Rovira i Virgili
197	Université du Québec à Chicoutimi - Documentation régionale
277	Université Numérique Ingénierie et Technologie
259	University of Aachen, GERMANY, OPUS
670	University of Alabama Libraries
155	University of Applied Sciences, Muenster, Germany, Document Server
233	University of Applied Sciences, Muenster, Germany, Document Server
183	University of Bayreuth, GERMANY, OPUS
109	University of California eScholarship Repository
500	University of Chester Digital Repository
480	University of Delaware Library Institutional Repository
29	University of East Anglia digital repository
656	University of Exeter
318	University of Freiburg, GERMANY, FreiDok
539	University of Fukui Repository (UFR)
98	University of Heidelberg, GERMANY, Diglit
219	University of Heidelberg, GERMANY, HeiDOK
53	University of Heidelberg, GERMANY, PropylaeumDOK
313	University of Heidelberg, GERMANY, SavifaDok
370	University of Heidelberg, GERMANY, SavifaDok
13	University of Hohenheim, GERMANY, OPUS-Hohenheim
359	University of Joensuu - electronic publications
166	University of Konstanz, GERMANY, KOPS
522	University of Leipzig Faculty of Mathematics and Computer Science
312	University of Marburg, Germany
706	University of Miami Libraries Digital Initiatives
118	University of Michigan Library Repository
613	University of Missouri at St. Louis ETD archive
559	University of Nevada, Las Vegas Digital Collections
607	University of Newcastle Library E-Print Archives
695	University of Oregon
206	University of Paderborn Publications Online
180	University of Passau, GERMANY, OPUS
143	University of Pittsburgh Electronic Thesis and Dissertation Archive
324	University of Regensburg Publication Server
214	University of Regensburg, GERMANY, OPUS
667	University of Regina Campus Digital Archive
251	University of Saskatchewan Electronic Thesis and Dissertation Archive
19	University of Technics Hamburg, GERMANY, TUBdok
144	University of Tennessee Sunsite Open Archives Initiative
430	University of the Pacific  Respository
231	University of Trento - Italy - UNITN-Eprints
172	University of Ulm, GERMANY, VTS Publication Service
507	University of Utah, J.W. Marriott Library CONTENTdm OAI Server
102	University of Wisconsin Digital Collections
350	University of Wuerzburg, GERMANY, OPUS
388	UPCommons - E-prints UPC
547	UPCommons - Revistes i Congressos UPC
686	UPCommons - Treballs acadèmics UPC
604	UPCommons - Videoteca UPC
15	UQ eSpace
390	UR Research
618	URLib local collection sid.inpe.br/bibdigital@80/2006/04.07.15.50
484	UT Repository (The University of Tokyo)
572	Utah State Archives
448	uuiar
648	VaNTH Dissemination Portal
565	Verlag Krause und Pachernegg - OAI Archive
340	ViFaPhys.de
119	Villanova University Digital Library
365	VIOE OAI Repository
718	Visual Library Server des Landesbibliothekszentrums Rheinland-Pfalz
493	Volunteer Voices OAI Archive
623	VTT Publications Register
356	W. M. Keck Laboratory of Hydraulics and Water Resources Technical Reports
352	Wageningen University and Researchcenter Publications
257	Warsaw University of Technology Digital Library
16	Warwick Research Archives Project Repository
168	Wayne State University Digital Projects
501	Webbased Archive of RIVM Publications
366	WesScholar
127	White Rose Etheses Online
49	White Rose Research Online
511	WHOAS at MBLWHOI Library
234	Wildlife Biology in Practice
595	Wolverhampton Intellectual Repository and E-Theses
170	www.dipp.nrw.de
527	www.physik-multimedial.de
635	Yokohama National University Repository 
531	YOU Campus Repository - University consortium Yamagata
605	YUNOCA
449	Zentrum für Allgemeine Sprachwissenschaft (ZAS) - ZASPIL OAI Archive
302	Δεξαμένη
643	Κοσμόπολις
329	Ψηφιακή Βιβλιοθήκη Θεόφραστος
471	宮崎大学学術情報リポジトリ 
458	近畿大学学術情報リポジトリ
