Africa	Central African Republic	bbp	Niger-Congo	7500
Africa	Cameroon	bbq	Niger-Congo	10800
Pacific	Papua New Guinea	bbr	Trans-New Guinea	4000
Africa	Nigeria	bbs	Niger-Congo	4000
Africa	Nigeria	bbt	Afro-Asiatic	12000
Africa	Nigeria	bbu	Niger-Congo	15000
Pacific	Papua New Guinea	bbv	Austronesian	920
Africa	Cameroon	bbw	Niger-Congo	24500
Africa	Cameroon	bbx	Niger-Congo	600
Africa	Cameroon	bby	Niger-Congo	2980
Africa	Chad	bbz	Creole	3940
Asia	China	bca	Sino-Tibetan	800000
Africa	Senegal	bcb	Niger-Congo	1850
Asia	Pakistan	bcc	Indo-European	3405000
Asia	Indonesia	bcd	Austronesian	1000
Africa	Cameroon	bce	Niger-Congo	4000
Pacific	Papua New Guinea	bcf	Trans-New Guinea	6310
Africa	Guinea	bcg	Niger-Congo	3000
Pacific	Papua New Guinea	bch	Austronesian	1380
Africa	Cote dIvoire	bci	Niger-Congo	2130000
Pacific	Australia	bcj	Australian	380
Pacific	Australia	bck	Australian	160
Asia	Philippines	bcl	Austronesian	2500000
Pacific	Papua New Guinea	bcm	Austronesian	1000
Africa	Nigeria	bcn	Niger-Congo	2000
Pacific	Papua New Guinea	bco	Trans-New Guinea	2500
Africa	Democratic Republic of the Congo	bcp	Niger-Congo	42000
Africa	Ethiopia	bcq	Afro-Asiatic	174000
Americas	Canada	bcr	Na-Dene	500
Africa	Nigeria	bcs	Niger-Congo	30000
Africa	Democratic Republic of the Congo	bct	Nilo-Saharan	32000
Pacific	Papua New Guinea	bcu	Austronesian	1450
Africa	Nigeria	bcv	Niger-Congo	10000
Africa	Cameroon	bcw	Afro-Asiatic	23000
Africa	Nigeria	bcy	Afro-Asiatic	150000
Africa	Senegal	bcz	Niger-Congo	32520
Africa	Senegal	bda	Niger-Congo	18790
Asia	Indonesia	bdb	Austronesian	15000
Americas	Colombia	bdc	Choco	5000
Pacific	Papua New Guinea	bdd	Austronesian	4000
Africa	Nigeria	bde	Afro-Asiatic	250000
Asia	Malaysia	bdg	Austronesian	1400
Africa	Sudan	bdh	Nilo-Saharan	26300
Africa	Sudan	bdi	Nilo-Saharan	18000
Africa	Sudan	bdj	Niger-Congo	2500
Asia	Azerbaijan	bdk	North Caucasian	1000
Asia	Indonesia	bdl	Austronesian	150000
Africa	Chad	bdm	Afro-Asiatic	54800
Africa	Cameroon	bdn	Afro-Asiatic	4
Africa	Chad	bdo	Nilo-Saharan	4500
Africa	Tanzania	bdp	Niger-Congo	27000
Asia	Viet Nam	bdq	Austro-Asiatic	158000
Asia	Malaysia	bdr	Austronesian	55000
Africa	Tanzania	bds	Afro-Asiatic	13000
Africa	Central African Republic	bdt	Niger-Congo	130000
Africa	Cameroon	bdu	Niger-Congo	106000
Asia	India	bdv	Indo-European	50000
Asia	Indonesia	bdw	Trans-New Guinea	1100
Asia	Indonesia	bdx	Austronesian	70
Pacific	Australia	bdy	Australian	10
Asia	Pakistan	bdz	Indo-European	
Americas	Canada	bea	Na-Dene	300
Africa	Cameroon	beb	Niger-Congo	24000
Africa	Cameroon	bec	Niger-Congo	12000
Asia	Indonesia	bed	Austronesian	180
Asia	India	bee	Sino-Tibetan	4560
Pacific	Papua New Guinea	bef	Trans-New Guinea	45000
Asia	Brunei	beg	Austronesian	1000
Africa	Benin	beh	Niger-Congo	66000
Asia	Indonesia	bei	Austronesian	4000
Africa	Sudan	bej	Afro-Asiatic	1186000
Pacific	Papua New Guinea	bek	Austronesian	1050
Europe	Belarus	bel	Indo-European	8618630
Africa	Zambia	bem	Niger-Congo	3602000
Asia	Bangladesh	ben	Indo-European	181272900
Pacific	Papua New Guinea	beo	Trans-New Guinea	4200
Asia	Indonesia	bep	Austronesian	8000
Africa	Congo	beq	Niger-Congo	3200
Africa	Chad	bes	Niger-Congo	1230
Africa	Cote dIvoire	bet	Niger-Congo	130000
