Language	Level	Type	Code	Name
mpq	2	I	mpq	Matís
mpr	1	G	map	Austronesian
mpr	2	G	poz	Malayo-Polynesian
mpr	3	G	pqe	Eastern Malayo-Polynesian
mpr	4	I	mpr	Vangunu
mps	1	G	paa	Papuan
mps	2	G	ngf	Trans-New Guinea
mps	3	I	mps	Dadibi
mpt	1	G	paa	Papuan
mpt	2	G	ngf	Trans-New Guinea
mpt	3	I	mpt	Mian
mpu	1	G	sai	South American Indian
mpu	2	I	mpu	Makuráp
mpv	1	G	paa	Papuan
mpv	2	G	ngf	Trans-New Guinea
mpv	3	I	mpv	Mungkip
mpw	1	G	sai	South American Indian
mpw	2	G	awd	Arawakan
mpw	3	I	mpw	Mapidian
mpx	1	G	map	Austronesian
mpx	2	G	poz	Malayo-Polynesian
mpx	3	G	pqe	Eastern Malayo-Polynesian
mpx	4	I	mpx	Misima-Paneati
mpy	1	G	map	Austronesian
mpy	2	G	poz	Malayo-Polynesian
mpy	3	G	pqe	Eastern Malayo-Polynesian
mpy	4	I	mpy	Mapia
mpz	1	G	sit	Sino-Tibetan
mpz	2	G	tbq	Tibeto-Burman
mpz	3	I	mpz	Mpi
mqa	1	G	map	Austronesian
mqa	2	G	poz	Malayo-Polynesian
mqa	3	G	pqe	Eastern Malayo-Polynesian
mqa	4	I	mqa	Maba (Indonesia)
mqb	1	G	afa	Afro-Asiatic
mqb	2	I	mqb	Mbuko
mqc	1	G	map	Austronesian
mqc	2	G	poz	Malayo-Polynesian
mqc	3	G	plf	Central Malayo-Polynesian
mqc	4	I	mqc	Mangole
mqd	1	G	map	Austronesian
mqd	2	I	mqd	Madang
mqe	1	G	paa	Papuan
mqe	2	G	ngf	Trans-New Guinea
mqe	3	I	mqe	Matepi
mqf	1	G	paa	Papuan
mqf	2	G	ngf	Trans-New Guinea
mqf	3	I	mqf	Momuna
mqg	1	G	map	Austronesian
mqg	2	G	poz	Malayo-Polynesian
mqg	3	G	plf	Central Malayo-Polynesian
mqg	4	M	msa	Malay (macrolanguage)
mqg	5	I	mqg	Kota Bangun Kutai Malay
mqh	1	G	cai	Central American Indian
mqh	2	I	mqh	Tlazoyaltepec Mixtec
mqi	1	G	map	Austronesian
mqi	2	G	poz	Malayo-Polynesian
mqi	3	G	plf	Central Malayo-Polynesian
mqi	4	I	mqi	Mariri
mqj	1	G	map	Austronesian
mqj	2	I	mqj	Mamasa
mqk	1	G	map	Austronesian
mqk	2	G	poz	Malayo-Polynesian
